cur_datetime,canTemp_K,canHum_Ratio,canPres_Pa,sensWaste,coolConsump[J],heatConsump[J],ElecTotal[J],GasTotal[J],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,295.507,0.011,99546.833,7.829,916060.039,0.000,2624537.505,29339.856,300.000,300.000,300.000,291.250,99200.000,293.818,99385.475,
2004-06-01 00:05:00,292.886,0.012,99549.260,0.051,0.000,0.000,2413257.665,29339.856,299.845,299.845,298.677,291.258,99200.000,291.862,99386.360,
2004-06-01 00:10:00,292.104,0.012,99549.605,0.051,0.000,0.000,2413257.665,29339.856,299.506,299.506,297.127,291.267,99200.000,291.624,99386.426,
2004-06-01 00:15:00,292.317,0.012,99549.527,0.051,0.000,0.000,2413257.665,29339.856,298.986,298.986,295.526,291.275,99200.000,291.672,99386.413,
2004-06-01 00:20:00,292.121,0.012,99549.573,0.051,0.000,0.000,2413257.665,29339.856,298.560,298.560,294.275,291.283,99200.000,291.655,99386.416,
2004-06-01 00:25:00,292.421,0.013,99549.474,0.051,0.000,0.000,2413257.665,29339.856,298.213,298.213,293.378,291.292,99200.000,291.710,99386.400,
2004-06-01 00:30:00,292.046,0.012,99549.590,0.051,0.000,0.000,2413257.665,29339.856,297.958,297.958,292.692,291.300,99200.000,291.650,99386.414,
2004-06-01 00:35:00,292.339,0.012,99549.500,0.051,0.000,0.000,2413257.665,29339.856,297.732,297.732,292.188,291.308,99200.000,291.697,99386.400,
2004-06-01 00:40:00,291.943,0.012,99549.624,0.051,0.000,0.000,2413257.665,29339.856,297.558,297.558,291.785,291.317,99200.000,291.631,99386.416,
2004-06-01 00:45:00,292.312,0.013,99549.506,0.051,0.000,0.000,2413257.665,29339.856,297.384,297.384,291.488,291.325,99200.000,291.694,99386.398,
2004-06-01 00:50:00,291.888,0.012,99549.637,0.051,0.000,0.000,2413257.665,29339.856,297.257,297.257,291.239,291.333,99200.000,291.625,99386.414,
2004-06-01 00:55:00,292.319,0.013,99549.497,0.051,0.000,0.000,2413257.665,29339.856,297.116,297.116,291.056,291.342,99200.000,291.701,99386.392,
2004-06-01 01:00:00,291.846,0.012,99549.644,0.051,0.000,0.000,2413257.665,29339.856,297.020,297.020,290.896,291.350,99200.000,291.625,99386.411,
2004-06-01 01:05:00,292.326,0.013,99549.493,0.051,0.000,0.000,2413257.665,29339.856,296.900,296.900,290.784,291.350,99200.000,291.704,99386.390,
2004-06-01 01:10:00,292.020,0.012,99549.571,0.051,0.000,0.000,2413257.665,29339.856,296.825,296.825,290.676,291.350,99200.000,291.669,99386.399,
2004-06-01 01:15:00,292.589,0.013,99549.399,0.051,0.000,0.000,2413257.665,29339.856,296.717,296.717,290.603,291.350,99200.000,291.756,99386.377,
2004-06-01 01:20:00,292.059,0.012,99549.546,0.051,0.000,0.000,2413257.665,29339.856,296.682,296.682,290.549,291.350,99200.000,291.693,99386.392,
2004-06-01 01:25:00,292.491,0.013,99549.424,0.051,0.000,0.000,2413257.665,29339.856,296.586,296.586,290.550,291.350,99200.000,291.751,99386.378,
2004-06-01 01:30:00,291.768,0.012,99549.675,0.051,0.000,0.000,2413257.665,29339.856,296.560,296.560,290.526,291.350,99200.000,291.607,99386.417,
2004-06-01 01:35:00,292.199,0.012,99549.542,0.051,0.000,0.000,2413257.665,29339.856,296.455,296.455,290.535,291.350,99200.000,291.675,99386.400,
2004-06-01 01:40:00,291.733,0.012,99549.695,0.051,0.000,0.000,2413257.665,29339.856,296.405,296.405,290.474,291.350,99200.000,291.590,99386.423,
2004-06-01 01:45:00,292.330,0.012,99549.502,0.051,0.000,0.000,2413257.665,29339.856,296.297,296.297,290.423,291.350,99200.000,291.694,99386.395,
2004-06-01 01:50:00,291.954,0.012,99549.599,0.051,0.000,0.000,2413257.665,29339.856,296.262,296.262,290.362,291.350,99200.000,291.652,99386.406,
2004-06-01 01:55:00,292.587,0.013,99549.407,0.051,0.000,0.000,2413257.665,29339.856,296.171,296.171,290.331,291.350,99200.000,291.749,99386.381,
2004-06-01 02:00:00,291.994,0.012,99549.575,0.051,0.000,0.000,2413257.665,29339.856,296.170,296.170,290.316,291.350,99200.000,291.675,99386.399,
2004-06-01 02:05:00,292.471,0.013,99549.435,0.051,0.000,0.000,2413257.665,29339.856,296.087,296.087,290.355,291.358,99208.333,291.743,99386.380,
2004-06-01 02:10:00,291.913,0.012,99549.603,0.051,0.000,0.000,2413257.665,29339.856,296.088,296.088,290.362,291.367,99216.667,291.658,99386.401,
2004-06-01 02:15:00,292.441,0.012,99549.440,0.051,0.000,0.000,2413257.665,29339.856,295.993,295.993,290.403,291.375,99225.000,291.740,99386.378,
2004-06-01 02:20:00,291.900,0.012,99549.600,0.051,0.000,0.000,2413257.665,29339.856,295.993,295.993,290.398,291.383,99233.333,291.662,99386.396,
2004-06-01 02:25:00,292.448,0.012,99549.428,0.051,0.000,0.000,2413257.665,29339.856,295.898,295.898,290.432,291.392,99241.667,291.750,99386.371,
2004-06-01 02:30:00,291.897,0.012,99549.591,0.051,0.000,0.000,2413257.665,29339.856,295.903,295.903,290.425,291.400,99250.000,291.671,99386.389,
2004-06-01 02:35:00,292.448,0.012,99549.418,0.051,0.000,0.000,2413257.665,29339.856,295.811,295.811,290.459,291.408,99258.333,291.760,99386.364,
2004-06-01 02:40:00,291.890,0.012,99549.584,0.051,0.000,0.000,2413257.665,29339.856,295.820,295.820,290.452,291.417,99266.667,291.678,99386.383,
2004-06-01 02:45:00,292.448,0.012,99549.408,0.051,0.000,0.000,2413257.665,29339.856,295.729,295.729,290.487,291.425,99275.000,291.769,99386.357,
2004-06-01 02:50:00,291.884,0.011,99549.577,0.051,0.000,0.000,2413257.665,29339.856,295.742,295.742,290.480,291.433,99283.333,291.686,99386.376,
2004-06-01 02:55:00,292.449,0.012,99549.398,0.051,0.000,0.000,2413257.665,29339.856,295.651,295.651,290.516,291.442,99291.667,291.778,99386.350,
2004-06-01 03:00:00,291.880,0.011,99549.569,0.051,0.000,0.000,2413257.665,29339.856,295.667,295.667,290.508,291.450,99300.000,291.694,99386.370,
2004-06-01 03:05:00,292.423,0.012,99549.434,0.051,0.000,0.000,2413257.665,29339.856,295.578,295.578,290.544,291.408,99308.333,291.749,99386.372,
2004-06-01 03:10:00,291.818,0.011,99549.657,0.051,0.000,0.000,2413257.665,29339.856,295.598,295.598,290.541,291.367,99316.667,291.622,99386.422,
2004-06-01 03:15:00,292.346,0.012,99549.539,0.051,0.000,0.000,2413257.665,29339.856,295.510,295.510,290.579,291.325,99325.000,291.660,99386.430,
2004-06-01 03:20:00,291.733,0.011,99549.763,0.051,0.000,0.000,2413257.665,29339.856,295.531,295.531,290.572,291.283,99333.333,291.533,99386.479,
2004-06-01 03:25:00,292.279,0.012,99549.641,0.051,0.000,0.000,2413257.665,29339.856,295.441,295.441,290.604,291.242,99341.667,291.573,99386.487,
2004-06-01 03:30:00,291.658,0.011,99549.865,0.051,0.000,0.000,2413257.665,29339.856,295.463,295.463,290.593,291.200,99350.000,291.448,99386.536,
2004-06-01 03:35:00,292.214,0.012,99549.741,0.051,0.000,0.000,2413257.665,29339.856,295.375,295.375,290.621,291.158,99358.333,291.487,99386.544,
2004-06-01 03:40:00,291.581,0.011,99549.967,0.051,0.000,0.000,2413257.665,29339.856,295.399,295.399,290.609,291.117,99366.667,291.362,99386.593,
2004-06-01 03:45:00,292.146,0.012,99549.843,0.051,0.000,0.000,2413257.665,29339.856,295.310,295.310,290.635,291.075,99375.000,291.400,99386.601,
2004-06-01 03:50:00,291.505,0.011,99550.070,0.051,0.000,0.000,2413257.665,29339.856,295.335,295.335,290.624,291.033,99383.333,291.275,99386.650,
2004-06-01 03:55:00,292.080,0.012,99549.944,0.051,0.000,0.000,2413257.665,29339.856,295.247,295.247,290.648,290.992,99391.667,291.314,99386.659,
2004-06-01 04:00:00,291.430,0.011,99550.173,0.051,0.000,0.000,2413257.665,29339.856,295.274,295.274,290.637,290.950,99400.000,291.189,99386.708,
2004-06-01 04:05:00,291.946,0.012,99550.157,0.051,0.000,0.000,2413257.665,29339.856,295.186,295.186,290.662,290.808,99400.000,291.137,99386.783,
2004-06-01 04:10:00,290.987,0.011,99550.622,0.051,0.000,0.000,2413257.665,29339.856,295.236,295.218,290.687,290.667,99400.000,290.825,99386.929,
2004-06-01 04:15:00,291.420,0.011,99550.631,0.051,0.000,0.000,2413257.665,29339.856,295.161,295.130,290.758,290.525,99400.000,290.759,99387.007,
2004-06-01 04:20:00,290.648,0.010,99551.019,0.051,0.000,0.000,2413257.665,29339.856,295.174,295.133,290.775,290.383,99400.000,290.496,99387.137,
2004-06-01 04:25:00,291.311,0.011,99550.939,0.051,0.000,0.000,2413257.665,29339.856,295.076,295.025,290.826,290.242,99400.000,290.485,99387.198,
2004-06-01 04:30:00,290.628,0.010,99551.245,0.051,0.000,0.000,2413257.665,29339.856,295.083,295.024,290.840,290.100,99400.000,290.296,99387.305,
2004-06-01 04:35:00,292.092,0.013,99550.909,0.051,0.000,0.000,2413257.665,29339.856,294.991,294.923,290.905,289.958,99400.000,290.411,99387.335,
2004-06-01 04:40:00,290.519,0.011,99551.488,0.051,0.000,0.000,2413257.665,29339.856,294.989,294.913,290.885,289.817,99400.000,290.109,99387.468,
2004-06-01 04:45:00,291.451,0.012,99551.356,0.051,0.000,0.000,2413257.665,29339.856,294.938,294.854,291.076,289.675,99400.000,290.120,99387.521,
2004-06-01 04:50:00,290.007,0.010,99551.978,0.051,0.000,0.000,2413257.665,29339.856,294.917,294.825,290.932,289.533,99400.000,289.708,99387.696,
2004-06-01 04:55:00,291.210,0.012,99551.714,0.082,0.000,0.000,2681397.405,46943.769,294.816,294.718,290.980,289.392,99400.000,289.806,99387.726,
2004-06-01 05:00:00,289.699,0.010,99552.341,0.082,0.000,0.000,2681397.405,46943.769,294.777,294.676,290.746,289.250,99400.000,289.414,99387.892,
2004-06-01 05:05:00,291.050,0.012,99551.961,0.082,0.000,0.000,2681397.405,46943.769,294.668,294.564,290.836,289.208,99408.333,289.601,99387.867,
2004-06-01 05:10:00,289.465,0.010,99552.566,0.082,0.000,0.000,2681397.405,46943.769,294.638,294.535,290.604,289.167,99416.667,289.231,99387.998,
2004-06-01 05:15:00,290.898,0.012,99552.143,0.082,0.000,0.000,2681397.405,46943.769,294.533,294.431,290.801,289.125,99425.000,289.450,99387.963,
