cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,291.065,289.343,0.000,291.140,291.748,290.859,287.334,99731.472,289.941,100087.987,
2004-06-01 00:10:00,289.931,289.373,0.000,291.089,291.695,290.848,287.334,99729.111,289.483,100088.231,
2004-06-01 00:15:00,290.015,289.338,0.000,291.077,291.684,290.834,287.334,99726.750,289.448,100088.277,
2004-06-01 00:20:00,290.241,289.368,0.000,291.092,291.701,290.817,287.334,99724.389,289.496,100088.234,
2004-06-01 00:25:00,290.385,289.355,0.000,291.113,291.724,290.793,287.334,99722.028,289.527,100088.226,
2004-06-01 00:30:00,290.464,289.384,0.000,291.121,291.735,290.760,287.334,99719.667,289.564,100088.189,
2004-06-01 00:35:00,290.436,289.245,0.000,291.118,291.734,290.717,287.333,99717.306,289.504,100088.306,
2004-06-01 00:40:00,290.306,289.080,0.000,291.098,291.715,290.664,287.333,99714.944,289.360,100088.497,
2004-06-01 00:45:00,290.103,288.920,0.000,291.064,291.682,290.601,287.333,99712.583,289.182,100088.704,
2004-06-01 00:50:00,289.928,288.800,0.000,291.038,291.656,290.532,287.333,99710.222,289.036,100088.869,
2004-06-01 00:55:00,289.807,288.682,0.000,291.015,291.635,290.459,287.333,99707.861,288.914,100089.016,
2004-06-01 01:00:00,289.728,288.591,0.000,290.990,291.608,290.404,287.333,99705.500,288.820,100089.132,
2004-06-01 01:05:00,289.668,288.519,0.000,290.967,291.581,290.354,287.342,99703.931,288.747,100089.223,
2004-06-01 01:10:00,289.625,288.461,0.000,290.946,291.558,290.307,287.351,99702.361,288.690,100089.295,
2004-06-01 01:15:00,289.574,288.395,0.000,290.923,291.531,290.261,287.360,99700.792,288.633,100089.371,
2004-06-01 01:20:00,289.522,288.338,0.000,290.900,291.504,290.216,287.369,99699.222,288.578,100089.440,
2004-06-01 01:25:00,289.462,288.276,0.000,290.874,291.474,290.171,287.378,99697.653,288.520,100089.515,
2004-06-01 01:30:00,289.404,288.221,0.000,290.849,291.445,290.128,287.387,99696.083,288.464,100089.584,
2004-06-01 01:35:00,289.346,288.162,0.000,290.822,291.414,290.085,287.396,99694.514,288.407,100089.655,
2004-06-01 01:40:00,289.293,288.109,0.000,290.795,291.383,290.043,287.405,99692.944,288.353,100089.722,
2004-06-01 01:45:00,289.240,288.053,0.000,290.768,291.351,290.001,287.414,99691.375,288.298,100089.791,
2004-06-01 01:50:00,289.190,288.002,0.000,290.741,291.320,289.960,287.423,99689.806,288.247,100089.855,
2004-06-01 01:55:00,289.142,287.949,0.000,290.713,291.288,289.919,287.432,99688.236,288.195,100089.920,
2004-06-01 02:00:00,289.095,287.900,0.000,290.693,291.264,289.895,287.441,99686.667,288.146,100089.981,
2004-06-01 02:05:00,289.069,287.892,0.000,290.676,291.244,289.879,287.444,99685.875,288.124,100090.000,
2004-06-01 02:10:00,289.062,287.884,0.000,290.663,291.228,289.868,287.446,99685.083,288.116,100090.011,
2004-06-01 02:15:00,289.060,287.875,0.000,290.653,291.215,289.862,287.448,99684.292,288.110,100090.020,
2004-06-01 02:20:00,289.056,287.867,0.000,290.643,291.202,289.859,287.450,99683.500,288.105,100090.028,
2004-06-01 02:25:00,289.046,287.859,0.000,290.634,291.190,289.859,287.453,99682.708,288.097,100090.038,
2004-06-01 02:30:00,289.033,287.852,0.000,290.624,291.178,289.862,287.455,99681.917,288.090,100090.047,
2004-06-01 02:35:00,289.020,287.845,0.000,290.616,291.166,289.867,287.457,99681.125,288.083,100090.056,
