cur_datetime,canTemp_K,canHum_Ratio,canPres_Pa,sensWaste,coolConsump[J],heatConsump[J],ElecTotal[J],GasTotal[J],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,295.331,0.011,100596.850,0.258,0.000,0.000,675703.823,8215.058,299.932,299.932,298.677,291.258,99200.000,295.950,100719.270,
2004-06-01 00:10:00,292.770,0.011,100601.745,0.258,0.000,0.000,675703.823,8215.058,299.829,299.829,297.490,291.267,99200.000,293.000,100725.163,
2004-06-01 00:15:00,292.357,0.011,100602.486,0.258,0.000,0.000,675703.823,8215.058,299.573,299.573,296.173,291.275,99200.000,292.498,100726.056,
2004-06-01 00:20:00,292.433,0.011,100602.384,0.258,0.000,0.000,675703.823,8215.058,299.257,299.257,295.004,291.283,99200.000,292.587,100725.927,
2004-06-01 00:25:00,292.568,0.011,100602.176,0.258,0.000,0.000,675703.823,8215.058,298.982,298.982,294.079,291.292,99200.000,292.747,100725.669,
2004-06-01 00:30:00,292.675,0.011,100601.987,0.258,0.000,0.000,675703.823,8215.058,298.765,298.765,293.355,291.300,99200.000,292.872,100725.439,
2004-06-01 00:35:00,292.724,0.011,100601.892,0.258,0.000,0.000,675703.823,8215.058,298.593,298.593,292.781,291.308,99200.000,292.929,100725.324,
2004-06-01 00:40:00,292.733,0.011,100601.858,0.258,0.000,0.000,675703.823,8215.058,298.454,298.454,292.317,291.317,99200.000,292.938,100725.287,
2004-06-01 00:45:00,292.720,0.011,100601.872,0.258,0.000,0.000,675703.823,8215.058,298.336,298.336,291.935,291.325,99200.000,292.921,100725.305,
2004-06-01 00:50:00,292.701,0.012,100601.891,0.258,0.000,0.000,675703.823,8215.058,298.233,298.233,291.610,291.333,99200.000,292.899,100725.331,
2004-06-01 00:55:00,292.685,0.012,100601.914,0.258,0.000,0.000,675703.823,8215.058,298.140,298.140,291.326,291.342,99200.000,292.879,100725.360,
2004-06-01 01:00:00,292.673,0.012,100601.923,0.258,0.000,0.000,675703.823,8215.058,298.055,298.055,291.077,291.350,99200.000,292.865,100725.373,
2004-06-01 01:05:00,292.663,0.012,100601.944,0.258,0.000,0.000,675703.823,8215.058,297.977,297.977,290.858,291.350,99200.000,292.853,100725.398,
2004-06-01 01:10:00,292.653,0.012,100601.962,0.258,0.000,0.000,675703.823,8215.058,297.905,297.905,290.664,291.350,99200.000,292.842,100725.420,
