Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),WaterSystems:NaturalGas [J](Hourly) 
 06/01  01:00:00,140170263.11871997,0.0,0.0,9649497.642210716,53294400.0,77195981.13768573,0.0,30384.338823529408,72000.0,0.0,72000.0 
 06/01  02:00:00,140170263.11871997,0.0,0.0,9649497.642210716,53294400.0,77195981.13768573,0.0,30384.338823529408,72000.0,0.0,72000.0 
 06/01  03:00:00,140170263.11871997,0.0,0.0,9649497.642210716,53294400.0,77195981.13768573,0.0,30384.338823529408,3970511.3661016375,0.0,3970511.3661016375 
 06/01  04:00:00,140170263.11871997,0.0,0.0,9649497.642210716,53294400.0,77195981.13768573,0.0,30384.338823529408,72000.0,0.0,72000.0 
 06/01  05:00:00,114290160.76093072,0.0,0.0,19298995.284421433,17764800.0,77195981.13768573,0.0,30384.338823529408,3971360.3909956417,0.0,3971360.3909956417 
 06/01  06:00:00,177547769.89566466,8460908.217070177,59061857.797440305,19298995.284421433,0.0,77195981.13768573,13499643.120223468,30384.338823529408,72000.0,0.0,72000.0 
 06/01  07:00:00,244257479.1353575,12652243.775226917,43076321.21095164,57896985.85326433,0.0,117654442.67614728,12947101.280943727,30384.338823529408,3973014.662256583,0.0,3973014.662256583 
 06/01  08:00:00,489861588.020263,71463.4112082482,48370665.17340146,173690957.55979297,0.0,253451924.59275988,14246192.94427674,30384.338823529408,7879407.900736983,0.0,7879407.900736983 
 06/01  09:00:00,476199500.4082941,0.0,64754776.87561655,173690957.55979297,0.0,223397067.44990274,14326314.184158215,30384.338823529408,7880242.1090520825,0.0,7880242.1090520825 
 06/01  10:00:00,494226877.3644184,0.0,89382241.17733632,173690957.55979297,0.0,216461331.18616644,14661963.10229907,30384.338823529408,7880531.995910418,0.0,7880531.995910418 
 06/01  11:00:00,506001201.7797966,0.0,93616984.08538045,173690957.55979297,0.0,223397067.44990274,15265808.345896868,30384.338823529408,7883198.686599765,0.0,7883198.686599765 
 06/01  12:00:00,497624808.4581574,0.0,87180348.1375715,173690957.55979297,0.0,221437412.82482204,15285705.597147347,30384.338823529408,11793746.595953442,0.0,11793746.595953442 
 06/01  13:00:00,519416191.4865615,0.0,99525485.0648262,173690957.55979297,0.0,229176847.66968298,16992516.85343585,30384.338823529408,7885453.449137244,0.0,7885453.449137244 
 06/01  14:00:00,513308727.13195115,0.0,105769962.94185212,173690957.55979297,0.0,216461331.18616644,17356091.10531599,30384.338823529408,7879499.578070868,0.0,7879499.578070868 
 06/01  15:00:00,524390556.46256024,0.0,115395943.48688897,173690957.55979297,0.0,216461331.18616644,18811939.89088825,30384.338823529408,7878539.727291683,0.0,7878539.727291683 
 06/01  16:00:00,553816545.6784117,0.0,132885005.86194988,173690957.55979297,0.0,226864935.58177087,20345262.336074416,30384.338823529408,7882202.4545703605,0.0,7882202.4545703605 
 06/01  17:00:00,511323987.86002636,0.0,130461470.45546924,135092966.99095008,0.0,226061237.00064614,19677929.07413706,30384.338823529408,3973985.499567121,0.0,3973985.499567121 
 06/01  18:00:00,341106113.03106314,0.0,99514985.98173802,96494976.42210722,0.0,129665444.23400117,15400322.054393204,30384.338823529408,3973306.9305043514,0.0,3973306.9305043514 
 06/01  19:00:00,312834600.02874017,0.0,81726479.37748119,96494976.42210722,0.0,120417795.88235287,14164964.00797545,30384.338823529408,3972390.1164126857,0.0,3972390.1164126857 
 06/01  20:00:00,273699471.32153314,271182.3793621851,57021925.26206934,57896985.85326433,44412000.0,101118800.59793137,12948192.890082331,30384.338823529408,3972838.3559684874,0.0,3972838.3559684874 
 06/01  21:00:00,251460198.89452738,2364655.322017397,28431695.677371223,57896985.85326433,53294400.0,96494976.42210722,12947101.280943727,30384.338823529408,3971136.215483514,0.0,3971136.215483514 
 06/01  22:00:00,149819760.76093072,0.0,0.0,19298995.284421433,53294400.0,77195981.13768573,0.0,30384.338823529408,72000.0,0.0,72000.0 
 06/01  23:00:00,140170263.11871997,0.0,0.0,9649497.642210716,53294400.0,77195981.13768573,0.0,30384.338823529408,3970961.000325834,0.0,3970961.000325834 
 06/01  24:00:00,140170263.11871997,0.0,0.0,9649497.642210716,53294400.0,77195981.13768573,0.0,30384.338823529408,72000.0,0.0,72000.0 
 06/02  01:00:00,140170263.11871997,0.0,0.0,9649497.642210716,53294400.0,77195981.13768573,0.0,30384.338823529408,2156679.0068959566,0.0,2156679.0068959566 
 06/02  02:00:00,140170263.11871997,0.0,0.0,9649497.642210716,53294400.0,77195981.13768573,0.0,30384.338823529408,1885199.8285645565,0.0,1885199.8285645565 
 06/02  03:00:00,140170263.11871997,0.0,0.0,9649497.642210716,53294400.0,77195981.13768573,0.0,30384.338823529408,72000.0,0.0,72000.0 
 06/02  04:00:00,140170263.11871997,0.0,0.0,9649497.642210716,53294400.0,77195981.13768573,0.0,30384.338823529408,3970399.989702492,0.0,3970399.989702492 
 06/02  05:00:00,114290160.76093072,0.0,0.0,19298995.284421433,17764800.0,77195981.13768573,0.0,30384.338823529408,72000.0,0.0,72000.0 
 06/02  06:00:00,132183037.41682656,12486286.782570122,9805245.470469315,19298995.284421433,0.0,77195981.13768573,13366144.402856423,30384.338823529408,3971159.7464049538,0.0,3971159.7464049538 
 06/02  07:00:00,240779114.99819794,11670031.751062712,40580169.09795627,57896985.85326433,0.0,117654442.67614728,12947101.280943727,30384.338823529408,3973027.9989610803,0.0,3973027.9989610803 
 06/02  08:00:00,513083638.3104715,391542.33993970096,70663520.27553782,173690957.55979297,0.0,253451924.59275988,14855309.20361747,30384.338823529408,7879263.12378413,0.0,7879263.12378413 
 06/02  09:00:00,500160069.2234084,0.0,88002484.87700737,173690957.55979297,0.0,223397067.44990274,15039174.997881714,30384.338823529408,7880182.078020815,0.0,7880182.078020815 
 06/02  10:00:00,503406658.60283804,0.0,98025037.33337015,173690957.55979297,0.0,216461331.18616644,15198948.184684878,30384.338823529408,3976213.2137634233,0.0,3976213.2137634233 
 06/02  11:00:00,521395984.6485008,0.0,107986694.33397128,173690957.55979297,0.0,223397067.44990274,16290880.96601012,30384.338823529408,11788450.077443488,0.0,11788450.077443488 
 06/02  12:00:00,522738217.77197313,0.0,111406063.49377456,173690957.55979297,0.0,221437412.82482204,16173399.554759912,30384.338823529408,7886408.964158788,0.0,7886408.964158788 
 06/02  13:00:00,544943713.0086162,0.0,123646139.81465712,173690957.55979297,0.0,229176847.66968298,18399383.625659678,30384.338823529408,11792225.802002603,0.0,11792225.802002603 
 06/02  14:00:00,532829194.59279615,0.0,124593110.8375287,173690957.55979297,0.0,216461331.18616644,18053410.670484472,30384.338823529408,7878868.33918844,0.0,7878868.33918844 
 06/02  15:00:00,532820012.0364659,0.0,124850978.5652207,173690957.55979297,0.0,216461331.18616644,17786360.38646217,30384.338823529408,3975324.1153363357,0.0,3975324.1153363357 
 06/02  16:00:00,544214166.9718468,0.0,125551049.10824822,173690957.55979297,0.0,226864935.58177087,18076840.383211035,30384.338823529408,7882150.549629627,0.0,7882150.549629627 
 06/02  17:00:00,495130176.98477435,0.0,117082371.08670007,135092966.99095008,0.0,226061237.00064614,16863217.567654125,30384.338823529408,7876293.425802235,0.0,7876293.425802235 
 06/02  18:00:00,342141594.02940583,0.0,102507084.51114687,96494976.42210722,0.0,129665444.23400117,13443704.523327077,30384.338823529408,3973428.313961474,0.0,3973428.313961474 
 06/02  19:00:00,321816775.4877479,0.0,91669237.63084863,96494976.42210722,0.0,120417795.88235287,13204381.213615755,30384.338823529408,3972402.6800341546,0.0,3972402.6800341546 
